series,date,rel_day,price,log_norm,rel_plot,log_plot
right,2024-10-14,-356.0,67056.6,-0.6205349074778284,-356.0,-0.6205349074778284
right,2024-10-15,-355.0,67608.44,-0.6123391190391282,-355.0,-0.6123391190391282
right,2024-10-16,-354.0,67402.33,-0.6153923593120019,-354.0,-0.6153923593120019
right,2024-10-17,-353.0,68426.11,-0.6003174694294859,-353.0,-0.6003174694294859
right,2024-10-18,-352.0,68363.73,-0.6012295255342991,-352.0,-0.6012295255342991
right,2024-10-19,-351.0,69014.86,-0.5917501026367167,-351.0,-0.5917501026367167
right,2024-10-20,-350.0,67346.15,-0.6162262092115361,-350.0,-0.6162262092115361
right,2024-10-21,-349.0,67380.08,-0.6157225210920461,-349.0,-0.6157225210920461
right,2024-10-22,-348.0,66601.11,-0.6273507022915586,-348.0,-0.6273507022915586
right,2024-10-23,-347.0,68156.84,-0.6042604264216964,-347.0,-0.6042604264216964
right,2024-10-24,-346.0,66564.51,-0.6279003937347645,-346.0,-0.6279003937347645
right,2024-10-25,-345.0,67012.56,-0.621191881857082,-345.0,-0.621191881857082
right,2024-10-26,-344.0,67943.19,-0.6074000315415157,-344.0,-0.6074000315415157
right,2024-10-27,-343.0,69924.5,-0.5786558578216358,-343.0,-0.5786558578216358
right,2024-10-28,-342.0,72724.35,-0.5393956798036639,-342.0,-0.5393956798036639
right,2024-10-29,-341.0,72322.91,-0.5449309932594217,-341.0,-0.5449309932594217
right,2024-10-30,-340.0,70197.83,-0.5747545474926036,-340.0,-0.5747545474926036
right,2024-10-31,-339.0,69467.29,-0.5852159520662389,-339.0,-0.5852159520662389
right,2024-11-01,-338.0,69358.94,-0.5867768965937965,-338.0,-0.5867768965937965
right,2024-11-02,-337.0,68738.18,-0.595767151872916,-337.0,-0.595767151872916
right,2024-11-03,-336.0,67807.48,-0.6093994330208542,-336.0,-0.6093994330208542
right,2024-11-04,-335.0,69380.73,-0.586462783115234,-335.0,-0.586462783115234
right,2024-11-05,-334.0,75646.55,-0.5000001119300026,-334.0,-0.5000001119300026
right,2024-11-06,-333.0,75920.0,-0.49639179206400896,-333.0,-0.49639179206400896
right,2024-11-07,-332.0,76566.73,-0.48790929817321227,-332.0,-0.48790929817321227
right,2024-11-08,-331.0,76716.06,-0.48596087268796945,-331.0,-0.48596087268796945
right,2024-11-09,-330.0,80428.92,-0.4386981333652961,-330.0,-0.4386981333652961
right,2024-11-10,-329.0,88770.73,-0.3400149678203366,-329.0,-0.3400149678203366
right,2024-11-11,-328.0,88035.43,-0.34833259927823385,-328.0,-0.34833259927823385
right,2024-11-12,-327.0,90493.82,-0.32079038528430187,-327.0,-0.32079038528430187
right,2024-11-13,-326.0,87340.4,-0.35625881851568547,-326.0,-0.35625881851568547
right,2024-11-14,-325.0,91058.36,-0.31457132672445787,-325.0,-0.31457132672445787
right,2024-11-15,-324.0,90636.24,-0.31921781329542087,-324.0,-0.31921781329542087
right,2024-11-16,-323.0,89886.69,-0.3275220692417508,-323.0,-0.3275220692417508
right,2024-11-17,-322.0,90520.3,-0.3204978114211262,-322.0,-0.3204978114211262
right,2024-11-18,-321.0,92435.89,-0.2995566232201096,-321.0,-0.2995566232201096
right,2024-11-19,-320.0,94393.15,-0.278603439406411,-320.0,-0.278603439406411
right,2024-11-20,-319.0,98439.09,-0.2366339650952252,-319.0,-0.2366339650952252
right,2024-11-21,-318.0,99024.03,-0.23070939841186267,-318.0,-0.23070939841186267
right,2024-11-22,-317.0,97778.77,-0.2433644685538637,-317.0,-0.2433644685538637
right,2024-11-23,-316.0,98028.18,-0.24081695800957242,-316.0,-0.24081695800957242
right,2024-11-24,-315.0,93000.01,-0.29347234568554964,-315.0,-0.29347234568554964
right,2024-11-25,-314.0,91929.54,-0.30504953230978205,-314.0,-0.30504953230978205
right,2024-11-26,-313.0,95951.19,-0.26223232169601945,-313.0,-0.26223232169601945
right,2024-11-27,-312.0,95665.53,-0.2652139008778571,-312.0,-0.2652139008778571
right,2024-11-28,-311.0,97490.56,-0.2463163935621089,-311.0,-0.2463163935621089
right,2024-11-29,-310.0,96465.42,-0.25688734420947873,-310.0,-0.25688734420947873
right,2024-11-30,-309.0,97263.18,-0.2486514460577911,-309.0,-0.2486514460577911
