date,value,ma30
2010-09-22,845.0,423.53333333333336
2010-09-23,725.0,433.3333333333333
2010-09-24,572.0,439.76666666666665
2010-09-25,602.0,446.9
2010-09-26,435.0,450.6333333333333
2010-09-27,693.0,461.0
2010-09-28,492.0,467.7
2010-09-29,971.0,488.1
2010-09-30,456.0,488.1
2010-10-01,672.0,496.1333333333333
2010-10-02,602.0,504.76666666666665
2010-10-03,488.0,508.6
2010-10-04,512.0,515.4333333333333
2010-10-05,491.0,520.0
2010-10-06,484.0,525.8333333333334
2010-10-07,407.0,529.7333333333333
2010-10-08,454.0,531.9666666666667
2010-10-09,484.0,536.0333333333333
2010-10-10,451.0,537.9333333333333
2010-10-11,424.0,541.0666666666667
2010-10-12,447.0,541.8
2010-10-13,457.0,539.9666666666667
2010-10-14,443.0,539.4333333333333
2010-10-15,403.0,536.7333333333333
2010-10-16,511.0,539.6
2010-10-17,541.0,545.1333333333333
2010-10-18,713.0,555.2333333333333
2010-10-19,1197.0,582.1666666666666
2010-10-20,912.0,595.0666666666667
2010-10-21,697.0,586.0333333333333
2010-10-22,764.0,583.3333333333334
2010-10-23,671.0,581.5333333333333
2010-10-24,671.0,584.8333333333334
2010-10-25,517.0,582.0
2010-10-26,683.0,590.2666666666667
2010-10-27,770.0,592.8333333333334
2010-10-28,644.0,597.9
2010-10-29,542.0,583.6
2010-10-30,463.0,583.8333333333334
2010-10-31,345.0,572.9333333333333
2010-11-01,399.0,566.1666666666666
2010-11-02,322.0,560.6333333333333
2010-11-03,407.0,557.1333333333333
2010-11-04,378.0,553.3666666666667
2010-11-05,490.0,553.5666666666667
2010-11-06,447.0,554.9
2010-11-07,486.0,555.9666666666667
2010-11-08,572.0,558.9
2010-11-09,446.0,558.7333333333333
2010-11-10,458.0,559.8666666666667
2010-11-11,442.0,559.7
2010-11-12,315.0,554.9666666666667
2010-11-13,373.0,552.6333333333333
2010-11-14,457.0,554.4333333333333
2010-11-15,4210.0,677.7333333333333
2010-11-16,3075.0,762.2
2010-11-17,496.0,754.9666666666667
2010-11-18,469.0,730.7
2010-11-19,402.0,713.7
2010-11-20,645.0,711.9666666666667
2010-11-21,578.0,705.7666666666667
2010-11-22,418.0,697.3333333333334
2010-11-23,411.0,688.6666666666666
2010-11-24,621.0,692.1333333333333
2010-11-25,668.0,691.6333333333333
2010-11-26,955.0,697.8
2010-11-27,564.0,695.1333333333333
2010-11-28,542.0,695.1333333333333
2010-11-29,544.0,697.8333333333334
2010-11-30,577.0,705.5666666666667
2010-12-01,701.0,715.6333333333333
2010-12-02,557.0,723.4666666666667
2010-12-03,481.0,725.9333333333333
2010-12-04,537.0,731.2333333333333
2010-12-05,531.0,732.6
2010-12-06,564.0,736.5
2010-12-07,745.0,745.1333333333333
2010-12-08,674.0,748.5333333333333
2010-12-09,599.0,753.6333333333333
2010-12-10,501.0,755.0666666666667
2010-12-11,856.0,768.8666666666667
2010-12-12,979.0,791.0
2010-12-13,965.0,810.7333333333333
2010-12-14,908.0,825.7666666666667
2010-12-15,895.0,715.2666666666667
2010-12-16,706.0,636.3
2010-12-17,604.0,639.9
2010-12-18,688.0,647.2
2010-12-19,741.0,658.5
2010-12-20,1120.0,674.3333333333334
2010-12-21,846.0,683.2666666666667
2010-12-22,888.0,698.9333333333333
2010-12-23,822.0,712.6333333333333
