post_day,dd_2025,dd_2017_scaled,dd_2021_scaled
481,,-24.781514106099692,-38.6252973251984
482,,-24.718935681627304,-38.553177780050966
483,,-24.73924101480525,-38.5618752278649
484,,-24.5729137033518,-38.750345586688475
485,,-24.800699846972083,-39.16624095014928
486,,-24.50738362643751,-40.31952937192771
487,,-24.46650154376512,-40.43675249600407
488,,-24.375763676456145,-40.11111560277759
489,,-24.35902068243222,-38.67730241876434
490,,-24.308927408518702,-37.00493799647971
491,,-24.346671240031597,-36.537174372456924
492,,-24.19406741608104,-36.910266661867816
493,,-23.94784192645873,-36.32056772719495
494,,-24.101955503669803,-34.26602017279912
495,,-24.622888232626853,-34.65192345220537
496,,-24.580988338767597,-33.74648236090457
497,,-24.562175795330383,-33.94483890426395
498,,-24.58863888618886,-33.622007087618556
499,,-24.600089262041084,-34.36729369985188
500,,-24.392387925841593,-33.48025664758313
501,,-24.30679000502629,-34.22632149752645
502,,-24.189979207813806,-34.22929761536249
503,,-23.736391652387624,-33.80024917939644
504,,-23.54536545613293,-34.52503649722464
505,,-23.637222915747458,-34.41088356367453
506,,-23.684652917055338,-33.47567274195062
507,,-23.581938804780926,-33.757711219291686
508,,-23.24273626323854,-33.36787399102171
509,,-22.89552694035948,-33.385747802163436
510,,-22.573135246920145,-33.63598971021029
511,,-21.085756868995652,-33.95361332064261
512,,-21.493203650617307,-33.64213864332555
513,,-20.05949784928014,-33.62874611306338
514,,-19.777920384434065,-33.74352334719402
515,,-19.417615224284024,-33.851553003817095
516,,-19.967843951902992,-33.82388708082979
517,,-20.84192323566247,-33.501012503870676
518,,-21.01374672752499,-32.353633557450586
519,,-19.423247112851342,-31.8702282106631
520,,-19.763297830382783,-32.15319031078087
521,,-19.844451309015447,-31.72586939148977
522,,-20.396138899335586,-31.656606235299908
523,,-19.962720968929105,-31.8054121271018
524,,-19.771202830600764,-31.798313915021602
525,,-19.648166421628623,-32.54921923247986
526,,-18.473239114551763,-31.75183345399038
527,,-18.433849821620107,-33.09267716387842
528,,-18.59797187550201,-33.58807250263753
529,,-18.64207702693281,-34.422959076273635
530,,-19.298446497821967,-33.949867517159326
531,,-18.829218577157633,-34.146462335592766
532,,-18.815936141169054,-34.200767934037714
533,,-18.505232312858872,-33.514216888752394
534,,-19.73705526528146,-33.442003270914746
535,,-20.2913382741281,-32.50404723704896
536,,-20.157920191049946,-32.639546119216156
537,,-20.08117722756036,-32.720534153432475
538,,-19.775799944461433,-32.702147218525916
539,,-19.86660566584953,-33.7409833845581
540,,-20.40061726855779,-33.20533348644776
541,,-19.684264791722754,-32.89347396630707
542,,-19.901279100282053,-33.05243970865268
543,,-19.475817060652894,-32.49365648081107
544,,-19.328251402077314,-33.01301469938793
545,,-18.58528316270577,-33.42578855994599
546,,-18.301398659169468,-34.06060817767327
547,,-18.07133940389852,-34.09101076073969
548,,-17.478430460510367,-34.114058569843486
549,,-17.913510815855393,-34.63765861154298
550,,-17.584418532102525,-34.80562967596143
551,,-17.14572494704413,-34.82363176804436
552,,-16.071459166348173,-34.70314175599856
553,,-15.253105045069526,-34.49197422264382
554,,-14.998262087398425,-34.609325627661384
555,,-14.605556604466525,-34.2877253080516
556,,-13.423267129804682,-34.79027872333013
557,,-11.446118008760978,-34.748801219006054
558,,-14.457346332139268,-34.54475755391976
559,,-12.438127682038498,-34.858387351049124
560,,-13.12345388119395,-34.76885580614832
561,,-15.04879641282625,-34.45310509745764
562,,-15.401841186509992,-35.224603782011236
563,,-14.868525088112762,-35.08189551094812
564,,-12.938755077817598,-34.87702229577535
