rel_day,dd_pct_ahr_2025,dd_pct_ahr_2021,dd_pct_ahr_2017,dd_pct_ahr_2021_scaled,dd_pct_ahr_2017_scaled
-93,-7.795290143343092,-50.2481326017103,-91.01129190692903,-23.260365569349915,-28.78029752203449
-92,-9.19124555245141,-52.090498474820215,-91.15093768393663,-24.113215247579994,-28.82445739413129
-91,-9.127302625295275,-46.666272457869816,-88.69995187881538,-21.60228651147905,-28.049387628438815
-90,-9.823785107227877,-48.37393635951446,-89.63383049288778,-22.392781293378366,-28.34470597629783
-89,-10.594031424783134,-48.581468324364316,-89.78946402132475,-22.48884992558001,-28.39392161931277
-88,-5.161066637896338,-51.255243566077446,-91.23300041320296,-23.726567356106123,-28.850407907680424
-87,-6.907170413460495,-43.76101116447904,-91.28566365664358,-20.25741186122286,-28.867061487504852
-86,-5.101682656882933,-45.5978535127568,-90.54042622175001,-21.107704644297343,-28.631396718316342
-85,-0.23709062409226211,-45.961216675052775,-91.17059665082672,-21.275909103882608,-28.830674105313143
-84,3.094140653346855,-48.56335704106256,-90.02515225003532,-22.48046603052329,-28.46845278135438
-83,-5.181353815188827,-51.449892170547095,-90.28326879146994,-23.81667215131146,-28.550076398624242
-82,-4.5572997641216695,-51.45639096461342,-88.7975546690379,-23.819680508396903,-28.08025234074789
-81,-2.655419407106119,-47.2199591212107,-89.02117236419326,-21.858593632427546,-28.150966464928707
-80,-2.1847575273971076,-41.36070138015402,-89.13654589724945,-19.14628433921845,-28.187450779544534
-79,-3.2499692483866527,-42.60899004238959,-88.30013071103615,-19.72412970612639,-27.922953073745745
-78,-5.6152140022360575,-41.76588730741199,-88.1000065291686,-19.33384897701865,-27.85966825078782
-77,-9.55312489262825,-41.28545266518733,-88.13174073906988,-19.11145095281934,-27.869703489091215
-76,-12.513772784379796,-45.682655958552665,-88.7049130986488,-21.146960548711185,-28.050956503903457
-75,-11.592488187224404,-42.87669674547534,-89.26681457716023,-19.848053829406705,-28.228645353174684
